State/ territory,SA3,SA3 Name,Sex,5 year period,Deaths,SA3 ASR,State ASR,Australia ASR 
New South Wales,12403,Penrith,Persons,2014until2018,92,13,11.1,12.6
New South Wales,12404,Richmond until Windsor,Persons,2014until2018,23,12.6,11.1,12.6
New South Wales,12405,St Marys,Persons,2014until2018,32,11.6,11.1,12.6
New South Wales,12501,Auburn,Persons,2014until2018,37,7.1,11.1,12.6
New South Wales,12502,Carlingford,Persons,2014until2018,24,6.7,11.1,12.6
New South Wales,12503,Merrylands until Guildford,Persons,2014until2018,51,6.5,11.1,12.6
New South Wales,12504,Parramatta,Persons,2014until2018,52,7,11.1,12.6
New South Wales,12601,Pennant Hills until Epping,Persons,2014until2018,15,0,11.1,12.6
New South Wales,12602,Ryde until Hunters Hill,Persons,2014until2018,55,7.6,11.1,12.6
New South Wales,12701,Bringelly until Green Valley,Persons,2014until2018,45,8.8,11.1,12.6
New South Wales,12702,Fairfield,Persons,2014until2018,65,7,11.1,12.6
New South Wales,12703,Liverpool,Persons,2014until2018,48,8.3,11.1,12.6
New South Wales,12801,Cronulla until Miranda until Caringbah,Persons,2014until2018,55,9.3,11.1,12.6
New South Wales,12802,Sutherland until Menai until Heathcote,Persons,2014until2018,54,9.6,11.1,12.6
Victoria,20101,Ballarat,Persons,2014until2018,74,14.6,10.7,12.6
Victoria,20102,Creswick until Daylesford until Ballan,Persons,2014until2018,28,18.8,10.7,12.6
Victoria,20103,Maryborough until Pyrenees,Persons,2014until2018,19,0,10.7,12.6
Victoria,20201,Bendigo,Persons,2014until2018,70,14.7,10.7,12.6
Victoria,20202,Heathcote until Castlemaine until Kyneton,Persons,2014until2018,36,15.4,10.7,12.6
Victoria,20203,Loddon until Elmore,Persons,2014until2018,8,0,10.7,12.6
Victoria,20301,Barwon until West,Persons,2014until2018,18,0,10.7,12.6
Victoria,20302,Geelong,Persons,2014until2018,124,12.7,10.7,12.6
Victoria,20303,Surf Coast until Bellarine Peninsula,Persons,2014until2018,44,13.2,10.7,12.6
Victoria,20401,Upper Goulburn Valley,Persons,2014until2018,39,13.1,10.7,12.6
Victoria,20402,Wangaratta until Benalla,Persons,2014until2018,54,25.3,10.7,12.6
Victoria,20403,Wodonga until Alpine,Persons,2014until2018,53,15.5,10.7,12.6
Victoria,20501,Baw Baw,Persons,2014until2018,27,11.3,10.7,12.6
Victoria,20502,Gippsland until East,Persons,2014until2018,43,20.5,10.7,12.6
Victoria,20503,Gippsland until South West,Persons,2014until2018,31,10,10.7,12.6
Victoria,20504,Latrobe Valley,Persons,2014until2018,64,17.2,10.7,12.6
Victoria,20505,Wellington,Persons,2014until2018,30,12.9,10.7,12.6
Victoria,20601,Brunswick until Coburg,Persons,2014until2018,46,9.3,10.7,12.6
Victoria,20602,Darebin until South,Persons,2014until2018,24,8,10.7,12.6
