Year,Count,Types,Percentage
2006,75,Jumping before a moving vehicle,0.034981343
2007,70,Jumping before a moving vehicle,0.030959752
2008,68,Jumping before a moving vehicle,0.029209622
2009,70,Jumping before a moving vehicle,0.029648454
2010,77,Jumping before a moving vehicle,0.031910485
2011,80,Jumping before a moving vehicle,0.032297134
2012,94,Jumping before a moving vehicle,0.036618621
2013,91,Jumping before a moving vehicle,0.034274953
2014,98,Jumping before a moving vehicle,0.033945272
2015,107,Jumping before a moving vehicle,0.034898891
1995,14,Crashing of motor vehicle,0.005922166
1996,11,Crashing of motor vehicle,0.004539827
1997,11,Crashing of motor vehicle,0.004155648
1998,12,Crashing of motor vehicle,0.004543733
1999,17,Crashing of motor vehicle,0.006827309
2000,10,Crashing of motor vehicle,0.004180602
2001,8,Crashing of motor vehicle,0.003237556
2002,14,Crashing of motor vehicle,0.006011164
2003,9,Crashing of motor vehicle,0.004158965
2004,10,Crashing of motor vehicle,0.004694836
2005,9,Crashing of motor vehicle,0.004293893
2006,12,Crashing of motor vehicle,0.005597015
2007,16,Crashing of motor vehicle,0.007076515
2008,23,Crashing of motor vehicle,0.009879725
2009,26,Crashing of motor vehicle,0.011012283
2010,35,Crashing of motor vehicle,0.014504766
2011,19,Crashing of motor vehicle,0.007670569
2012,35,Crashing of motor vehicle,0.013634593
2013,25,Crashing of motor vehicle,0.009416196
2014,31,Crashing of motor vehicle,0.01073779
2015,40,Crashing of motor vehicle,0.013046314
1995,46,Other and unspecified,0.019458545
1996,39,Other and unspecified,0.016095749
1997,67,Other and unspecified,0.025311674
1998,55,Other and unspecified,0.020825445
1999,50,Other and unspecified,0.020080321
2000,67,Other and unspecified,0.028010033
2001,52,Other and unspecified,0.021044112
2002,48,Other and unspecified,0.020609704
2003,62,Other and unspecified,0.028650647
2004,42,Other and unspecified,0.01971831
2005,48,Other and unspecified,0.022900763
2006,49,Other and unspecified,0.022854478
2007,64,Other and unspecified,0.028306059
2008,65,Other and unspecified,0.027920962
2009,49,Other and unspecified,0.020753918
2010,29,Other and unspecified,0.012018235
2011,43,Other and unspecified,0.017359709
2012,50,Other and unspecified,0.01947799
2013,64,Other and unspecified,0.024105461
2014,49,Other and unspecified,0.016972636
2015,59,Other and unspecified,0.019243314
